_also_see	_also_see_v
_also_see	_also_see_v	_also_see_v
_also_see	_also_see	_also_see_v
_also_see	_also_see	_also_see
_verb_group	_derivationally_related_form_v	_derivationally_related_form
_synset_domain_topic_of	_derivationally_related_form	_synset_domain_topic_of
_synset_domain_topic_of	_hypernym	_synset_domain_topic_of
_synset_domain_topic_of	_hypernym_v	_synset_domain_topic_of
_synset_domain_topic_of	_instance_hypernym	_synset_domain_topic_of
_has_part	_has_part	_instance_hypernym_v
_has_part	_has_part	_hypernym_v
_derivationally_related_form	_derivationally_related_form	_verb_group_v
_hypernym	_verb_group	_hypernym
_hypernym	_has_part	_hypernym
_hypernym	_verb_group_v	_hypernym
_hypernym	_has_part_v	_hypernym
_derivationally_related_form	_verb_group_v	_derivationally_related_form
