r0:0.804664041:CC(h,b), CC(a,h) -> CC(a,b)
r1:0.786191622:Q(b,a) -> Q(a,b)
r2:0.771367399:Rg(b,a) -> Rg(a,cb)
r3:0.737255288:Ra(b,a) -> Ra(a,b)
r4:0.658092561:B(g,b), ML(a,g) -> ML(a,b)
r5:0.650424328:E(a,h), P(h,b) -> T(a,b)
r6:0.640998823:B(b,h), ML(a,h) -> ML(a,b)
r7:0.626847375:B(b,a) -> B(a,b)
r8:0.593679458:An(h,b), An(a,h) -> An(a,b)
r9:0.552793494:E(a,h), ML(b,h) -> T(a,b)
r10:0.514119493:Q(b,h), U(h,a) -> ML(a,b)
r11:0.51255066:Q(g,b), U(g,a) -> ML(a,b)
r12:0.478984181:Rg(g,b), Te(g,a) -> ML(a,b)
r13:0.47721689:E(b,a) -> E(a,b)
r14:0.472283959:Rg(b,h), Te(h,a) -> ML(a,b)
r15:0.470698997:Rg(g,a), Te(g,b) -> P(a,b)
r16:0.464589017:Rg(a,h), Te(h,b) -> P(a,b)
r17:0.460496614:An(g,a), An(g,b) -> An(a,b)
r18:0.451496928:E(g,b), Te(g,a) -> ML(a,b)
r19:0.450833813:An(h,b), C(a,h) -> C(a,b)
r20:0.449874687:Iw(h,b), Rg(a,h) -> Iw(a,b)
r21:0.449039265:Iw(g,b), Rg(g,a) -> Iw(a,b)
r22:0.437933063:E(b,h), Te(h,a) -> ML(a,b)
r23:0.434157562:An(b,h), C(a,h) -> C(a,b)
r24:0.422121896:An(a,h), An(b,h) -> An(a,b)
r25:0.421558374:An(g,a), ML(g,b) -> ML(a,b)
r26:0.42152569:Q(g,b), Te(g,a) -> ML(a,b)
r27:0.420973754:Q(g,a), Te(g,b) -> P(a,b)
r28:0.420773957:Q(b,h), Te(h,a) -> ML(a,b)
r29:0.418744956:Q(a,h), Te(h,b) -> P(a,b)
r30:0.406478579:An(h,b), D(a,h) -> D(a,b)
r31:0.404595372:An(a,h), ML(h,b) -> ML(a,b)
r32:0.401196235:Rg(h,b), X(a,h) -> ML(a,b)
r33:0.397241469:Rg(b,h), X(a,h) -> ML(a,b)
r34:0.384535005:An(b,h), D(a,h) -> D(a,b)
