"Fixed parameters such as embedding size (100), depth of reasoner(1) ",,,,,
,,,,,
EACH TABLE REPRESENTS THE RESULTS FOR DIFFERENT MODELS WITH A CERTAIN KGE. THE BEST RESULTS ARE FOR THE COMPLEX KGE,,,,,
 KGE : ,complex, Metric: ,test_task_mrr,,
distmult,[0.9141 0.0047],[0.9034 0.0075],[0.913  0.0048],[0.9063 0.0084],[0.9557 0.0213]
transe,[0.8041 0.0177],[0.7585 0.0595],[0.7674 0.0581],[0.7554 0.0584],[0.9893 0.0122]
,,,,,
Model : ,r2n, Metric: ,test_task_mrr,,
KGE,backward,domain,domainbody,full,known
complex,[0.9224 0.0153],[0.9281 0.0044],[0.9247 0.0097],[0.9281 0.0044],[0.994 0.008]
distmult,[0.9127 0.0112],[0.9166 0.011 ],[0.9152 0.0135],[0.9166 0.011 ],[1. 0.]
transe,[0.7408 0.0107],[0.7244 0.0303],[0.7408 0.0107],[0.7244 0.0303],[0.7408 0.0107]
,,,,,
Model : ,sbr, Metric: ,test_task_mrr,,
KGE,backward,domain,domainbody,full,known
complex,[0.9617 0.0184],[0.9567 0.0202],[0.9611 0.0219],[0.9567 0.0202],[0.959  0.0212]
distmult,[0.9522 0.0203],[0.9452 0.0114],[0.9549 0.0193],[0.9452 0.0114],[0.9657 0.0194]
transe,[0.7303 0.011 ],[0.7061 0.0197],[0.7337 0.0184],[0.7061 0.0197],[0.7621 0.007 ]
,,,,,
Model : ,rnm, Metric: ,test_task_mrr,,
KGE,backward,domain,domainbody,full,known
complex,[0.9317 0.0138],[0.937  0.0068],[0.9317 0.0092],[0.937  0.0068],[0.9263 0.0099]
distmult,[0.9205 0.0074],[0.914  0.0079],[0.9241 0.0059],[0.914  0.0079],[0.926  0.0085]
transe,[0.729  0.0089],[0.7039 0.0274],[0.7491 0.0219],[0.7039 0.0274],[0.7395 0.0148]
,,,,,
Model : ,dcr, Metric: ,Time,,
KGE,backward,domain,domainbody,full,known
complex,[34.58419194  1.13196898],[76.68130002 19.63334052],[43.75810142  1.56534389],[66.45193596  2.35733276],[32.15112586  1.70554963]
distmult,[32.74215446  4.7379357 ],[79.07282882 31.58919789],[44.73024154  1.01913998],[63.66429663  4.63396321],[26.84220815  1.82802765]
transe,[30.24556756  2.02590305],[85.68342972 54.02803795],[41.40343423  0.7063774 ],[61.69745836  8.78950351],[24.91432266  2.87446288]
,,,,,
Model : ,r2n, Metric: ,Time,,
KGE,backward,domain,domainbody,full,known
complex,[34.980058    1.11507199],[81.47619143 22.44152463],[45.89434729  1.07222476],[71.8375699   3.15202358],[30.62341657  2.21531574]
distmult,[31.60443068  1.17080988],[91.59719324 56.7490775 ],[47.52261758  1.64197066],[62.56865578  2.58135647],[24.44427719  2.89187631]
transe,[30.33919635  1.52969795],[89.094945 55.309681],[44.64715724  1.19819983],[64.87564964  9.33221349],[24.07454524  2.4267409 ]
,,,,,
Model : ,sbr, Metric: ,Time,,
KGE,backward,domain,domainbody,full,known
complex,[29.93502879  1.96320976],[53.59753671 16.86068879],[32.89035144  2.20043398],[41.80524611  3.78539534],[35.50850348  4.98791605]
distmult,[26.23204141  2.55743369],[35.61193104  2.93972087],[26.73505492  1.43043039],[29.93143134  2.93426877],[22.40599875  2.00274413]
transe,[25.63652477  1.02027408],[57.91457357 43.10130454],[27.78673015  3.71786946],[41.36388803 13.99235524],[22.06986713  2.36346777]
,,,,,
Model : ,rnm, Metric: ,Time,,
KGE,backward,domain,domainbody,full,known
complex,[30.7567977   3.36230101],[62.96985612 31.43246617],[30.90568504  0.96381608],[41.31098223  2.01212924],[26.38765039  1.79894383]
distmult,[26.95270796  1.8172685 ],[53.72234683 35.68619233],[27.25199752  0.92764685],[33.15017252  3.80555961],[22.57252054  2.58186938]
transe,[25.70134034  2.22692128],[57.85951371 44.04669978],[25.98471913  0.79438849],[33.01304731  5.01360941],[21.28406663  0.55306435]
