Number of atoms removed: 4872
Problematic atoms:
{('P', 'e443', 'e338')}
Number of times a predicate appears in the head of rules (in train facts): {'ML': 57, 'Rg': 9, 'P': 17, 'Q': 17}
Q, (Fraction of) Atoms from facts to be deleted with this predicate: 1.979. 2121/1072
Rg, (Fraction of) Atoms from facts to be deleted with this predicate: 1.272. 1540/1211
ML, (Fraction of) Atoms from facts to be deleted with this predicate: 0.481. 701/1458
P, (Fraction of) Atoms from facts to be deleted with this predicate: 0.392. 511/1304
Atoms removed:
('Q', 'e1809', 'e1809')
('Rg', 'e175', 'e485')
('Rg', 'e1809', 'e711')
('Q', 'e802', 'e325')
('Q', 'e472', 'e105')
('ML', 'e514', 'e1295')
('Q', 'e47', 'e658')
('ML', 'e1363', 'e309')
('Rg', 'e1950', 'e60')
('P', 'e175', 'e788')
('Rg', 'e912', 'e1155')
('Rg', 'e139', 'e1891')
('Rg', 'e89', 'e658')
('Q', 'e1162', 'e510')
('Q', 'e219', 'e1927')
('Q', 'e480', 'e702')
('Q', 'e833', 'e2')
('Rg', 'e323', 'e1103')
('Rg', 'e1155', 'e495')
('ML', 'e143', 'e1891')
('Q', 'e823', 'e166')
('Q', 'e166', 'e499')
('Q', 'e175', 'e802')
('Rg', 'e485', 'e651')
('P', 'e139', 'e86')
('Q', 'e495', 'e274')
('ML', 'e331', 'e89')
('Rg', 'e330', 'e823')
('Q', 'e219', 'e472')
('Rg', 'e370', 'e189')
('Q', 'e651', 'e1774')
('P', 'e1138', 'e2365')
('Rg', 'e201', 'e1162')
('Q', 'e510', 'e2024')
('Q', 'e446', 'e272')
('P', 'e64', 'e1299')
('Rg', 'e272', 'e175')
('P', 'e622', 'e1248')
('Rg', 'e64', 'e1809')
('Q', 'e622', 'e802')
('Q', 'e38', 'e658')
('P', 'e1567', 'e157')
('Rg', 'e0', 'e175')
('Q', 'e1927', 'e2')
('Rg', 'e370', 'e60')
('ML', 'e611', 'e323')
('Q', 'e1809', 'e711')
('P', 'e31', 'e157')
('Rg', 'e658', 'e219')
('Q', 'e105', 'e175')
('Q', 'e139', 'e1891')
('Q', 'e89', 'e658')
('Q', 'e201', 'e219')
('Q', 'e658', 'e2')
('Rg', 'e31', 'e802')
('Q', 'e62', 'e62')
('Rg', 'e622', 'e443')
('Rg', 'e189', 'e219')
('Q', 'e446', 'e298')
('Q', 'e502', 'e510')
('Q', 'e1005', 'e248')
('Q', 'e1776', 'e1454')
('Rg', 'e325', 'e1104')
('ML', 'e1567', 'e1155')
('Q', 'e370', 'e189')
('Rg', 'e2024', 'e1927')
('Rg', 'e823', 'e823')
('Q', 'e201', 'e1162')
('P', 'e499', 'e947')
('ML', 'e933', 'e510')
('Q', 'e272', 'e175')
('Rg', 'e139', 'e370')
('Rg', 'e443', 'e499')
('Q', 'e1104', 'e1520')
('Rg', 'e495', 'e1776')
('Rg', 'e1454', 'e201')
('ML', 'e81', 'e1774')
('ML', 'e94', 'e1103')
('ML', 'e143', 'e31')
('Q', 'e495', 'e325')
('Rg', 'e2024', 'e472')
('Q', 'e0', 'e175')
('Rg', 'e1520', 'e0')
('ML', 'e331', 'e64')
('Q', 'e175', 'e443')
('Rg', 'e325', 'e38')
('Rg', 'e485', 'e446')
('Q', 'e1103', 'e248')
('Q', 'e499', 'e499')
('ML', 'e1363', 'e472')
('Rg', 'e1809', 'e485')
('P', 'e0', 'e3728')
('Q', 'e219', 'e363')
('ML', 'e331', 'e651')
('Q', 'e1891', 'e201')
('Q', 'e1891', 'e1104')
('Rg', 'e58', 'e219')
('Rg', 'e298', 'e0')
('Q', 'e363', 'e272')
('Q', 'e446', 'e495')
('Rg', 'e298', 'e1454')
('P', 'e510', 'e2243')
('Q', 'e274', 'e1891')
('Rg', 'e330', 'e622')
('Rg', 'e166', 'e443')
('Q', 'e443', 'e219')
('ML', 'e357', 'e1454')
('P', 'e622', 'e913')
('Rg', 'e802', 'e0')
('Q', 'e622', 'e443')
('Rg', 'e1776', 'e309')
('Q', 'e189', 'e219')
('Rg', 'e60', 'e309')
('P', 'e201', 'e3824')
('Rg', 'e485', 'e485')
('Q', 'e325', 'e1104')
('Q', 'e1809', 'e446')
('Rg', 'e58', 'e1162')
('Q', 'e823', 'e510')
('Rg', 'e175', 'e219')
('Rg', 'e1162', 'e1454')
('Q', 'e443', 'e1162')
('Rg', 'e1950', 'e495')
('Rg', 'e1162', 'e0')
('Q', 'e622', 'e833')
('ML', 'e1491', 'e60')
('Rg', 'e62', 'e472')
('Q', 'e189', 'e1162')
('Rg', 'e325', 'e105')
('Q', 'e175', 'e2')
('P', 'e323', 'e1472')
('Q', 'e1776', 'e658')
('Q', 'e363', 'e298')
('Q', 'e446', 'e1005')
('Rg', 'e31', 'e443')
