Assuming 9 as type relation
Loading files... 
  Starting train_nations.tsv
  Finished train_nations.tsv, still running: 0
Loaded 1592 facts in 46 ms using -3 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.45	0.625	0.625	45	72	72	-1
?b  relngo  ?a   => ?a  embassy  ?b	0.44	0.564102564	0.564102564	44	78	78	-1
?b  commonbloc1  ?a   => ?a  embassy  ?b	0.45	0.5625	0.5625	45	80	80	-1
?b  timesinceally  ?a   => ?a  embassy  ?b	0.45	0.642857143	0.642857143	45	70	70	-1
?b  embassy  ?a   => ?a  embassy  ?b	0.62	0.62	0.62	62	100	100	-1
?b  reldiplomacy  ?a   => ?a  embassy  ?b	0.41	0.621212121	0.621212121	41	66	66	-1
?b  independence  ?a   => ?a  embassy  ?b	0.39	0.609375	0.609375	39	64	64	-1
?b  relintergovorgs  ?a   => ?a  embassy  ?b	0.38	0.513513514	0.513513514	38	74	74	-1
?b  intergovorgs  ?a   => ?a  embassy  ?b	0.4	0.597014925	0.597014925	40	67	67	-1
?b  ngoorgs3  ?a   => ?a  embassy  ?b	0.4	0.597014925	0.597014925	40	67	67	-1
?b  weightedunvote  ?a   => ?a  embassy  ?b	0.38	0.730769231	0.730769231	38	52	52	-1
?b  ngo  ?a   => ?a  embassy  ?b	0.34	0.586206897	0.586206897	34	58	58	-1
?b  treaties  ?a   => ?a  embassy  ?b	0.27	0.613636364	0.613636364	27	44	44	-1
?b  conferences  ?a   => ?a  embassy  ?b	0.36	0.620689655	0.620689655	36	58	58	-1
