epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.32792791724205017;1.0;0.7391663789749146;0.607207179069519;0.7368706464767456;0.33693695068359375;1.0;0.7345748543739319;0.6138137578964233;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.3234234154224396;1.0;0.7354369759559631;0.6057056784629822;0.7330308556556702;0.3333333432674408;1.0;0.7306247353553772;0.6132132411003113;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.3126126229763031;1.0;0.7343412637710571;0.6009008288383484;0.7320737242698669;0.3216216266155243;1.0;0.7298061847686768;0.6076576113700867;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.3243243098258972;1.0;0.7371628880500793;0.6063061952590942;0.7351614832878113;0.32972973585128784;1.0;0.7331600785255432;0.6114113926887512;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.3360360264778137;1.0;0.7378655076026917;0.612162172794342;0.7351988554000854;0.3468468487262726;1.0;0.7325321435928345;0.6211711168289185;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.33243241906166077;1.0;0.7355902791023254;0.6133632659912109;0.7327395081520081;0.342342346906662;1.0;0.7298887372016907;0.6214714050292969;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.3126126229763031;1.0;0.7388579249382019;0.6009008884429932;0.7361637353897095;0.3243243098258972;1.0;0.7334694862365723;0.6096095442771912;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.3513513505458832;1.0;0.7300487756729126;0.6235734820365906;0.7266998887062073;0.36936935782432556;1.0;0.723351001739502;0.6355855464935303;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.3495495617389679;1.0;0.7370062470436096;0.6204203963279724;0.7356407642364502;0.3567567467689514;1.0;0.734275221824646;0.6259759068489075;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.33423423767089844;1.0;0.7295820116996765;0.6109609007835388;0.7271860837936401;0.3468468487262726;1.0;0.7247902154922485;0.620120108127594;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;0.3333333432674408;1.0;0.7297362089157104;0.6154654026031494;0.7260755300521851;0.3540540635585785;1.0;0.7224148511886597;0.628978967666626;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;0.34324324131011963;1.0;0.7345312833786011;0.6153152585029602;0.7319236993789673;0.3540540635585785;1.0;0.7293161153793335;0.6234233379364014;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;0.3306306302547455;1.0;0.7274661660194397;0.6088588237762451;0.7257793545722961;0.33693695068359375;1.0;0.7240925431251526;0.6142642498016357;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;0.36036035418510437;1.0;0.7274647951126099;0.6292791962623596;0.72489994764328;0.36936935782432556;1.0;0.7223351001739502;0.6379880309104919;NA;NA;NA;NA;NA;NA;NA;NA;NA
