?b  B  ?a   => ?a  B  ?b        0,626847375     0,626847375     0,664356864     9204    14683   13854   -1
?b  Ra  ?a   => ?a  Ra  ?b      0,737255288     0,737255288     0,742032531     22445   30444   30248   -2
?b  Q  ?a   => ?a  Q  ?b        0,786191622     0,786191622     0,790720897     20588   26187   26037   -1
?b  Rg  ?a   => ?a  Rg  ?b      0,771367399     0,771367399     0,773885898     27021   35030   34916   -1
?b  An  ?a  ?b  Iw  ?a   => ?a  An  ?b  0,022573363     0,909090909     0,909090909     10      11      11      -2
?b  An  ?a  ?a  Iw  ?b   => ?a  An  ?b  0,022573363     0,769230769     0,833333333     10      13      12      -2
?g  An  ?b  ?a  An  ?g   => ?a  An  ?b  0,593679458     0,519762846     0,519762846     263     506     506     -2
?b  Iw  ?a  ?a  U  ?b   => ?a  Iw  ?b   0,011278195     0,818181818     0,964285714     27      33      28      -1
?b  Iw  ?a  ?b  ML  ?a   => ?a  Iw  ?b  0,012531328     0,833333333     0,9375  30      36      32      -1
?a  An  ?h  ?h  Iw  ?b   => ?a  Iw  ?b  0,060985798     0,525179856     0,935897436     146     278     156     -1
?g  An  ?a  ?g  Iw  ?b   => ?a  Iw  ?b  0,069340017     0,551495017     0,846938776     166     301     196     -1
?b  B  ?a  ?b  Ra  ?a   => ?a  B  ?b    0,041136008     0,67335563      0,696655133     604     897     867     -1
?b  B  ?a  ?b  Rg  ?a   => ?a  B  ?b    0,093237077     0,727031333     0,75886918      1369    1883    1804    -1
?b  B  ?a  ?a  Rg  ?b   => ?a  B  ?b    0,093237077     0,651594479     0,687248996     1369    2101    1992    -1
?b  B  ?a  ?a  GG  ?b   => ?a  B  ?b    0,055370156     0,697854077     0,733092876     813     1165    1109    -1
?b  B  ?a  ?b  GG  ?a   => ?a  B  ?b    0,055370156     0,706342311     0,747242647     813     1151    1088    -1
?b  B  ?a  ?a  Q  ?b   => ?a  B  ?b     0,042770551     0,648090815     0,68935236      628     969     911     -1
?b  B  ?a  ?b  Q  ?a   => ?a  B  ?b     0,042770551     0,677454153     0,724336794     628     927     867     -1
?b  P  ?a  ?a  X  ?b   => ?a  ML  ?b    0,012779448     0,518567639     0,519946809     391     754     752     -2
?b  GG  ?a  ?b  Ra  ?a   => ?a  Ra  ?b  0,046051767     0,736731477     0,744161359     1402    1903    1884    -2
?a  GG  ?b  ?b  Ra  ?a   => ?a  Ra  ?b  0,046051767     0,737118822     0,746141565     1402    1902    1879    -2
?b  E  ?a  ?b  Q  ?a   => ?a  Q  ?b     0,054225379     0,793739519     0,794183445     1420    1789    1788    -1
?b  Q  ?a  ?b  Rg  ?a   => ?a  Q  ?b    0,09321419      0,825219743     0,827177228     2441    2958    2951    -1
?b  B  ?a  ?b  Q  ?a   => ?a  Q  ?b     0,028105549     0,793959008     0,797399783     736     927     923     -1
?b  GG  ?a  ?b  Q  ?a   => ?a  Q  ?b    0,043380303     0,792742498     0,803963199     1136    1433    1413    -1
?b  Q  ?a  ?b  Rg  ?a   => ?a  Rg  ?b   0,067599201     0,800540906     0,800811633     2368    2958    2957    -1
?b  E  ?a  ?b  Rg  ?a   => ?a  Rg  ?b   0,057350842     0,774778249     0,775376303     2009    2593    2591    -1
?b  B  ?a  ?b  Rg  ?a   => ?a  Rg  ?b   0,042649158     0,793414764     0,794680851     1494    1883    1880    -1
?b  Ra  ?a  ?b  Rg  ?a   => ?a  Rg  ?b  0,056608621     0,783175355     0,784104389     1983    2532    2529    -1
?a  GG  ?b  ?b  Rg  ?a   => ?a  Rg  ?b  0,049300599     0,77236136      0,77513465      1727    2236    2228    -1
?b  E  ?a  ?b  Rg  ?a   => ?a  E  ?b    0,059914174     0,705360586     0,738393218     1829    2593    2477    -1
?b  E  ?a  ?b  Q  ?a   => ?a  E  ?b     0,042355947     0,72275014      0,755257009     1293    1789    1712    -1
?b  E  ?a  ?b  Ra  ?a   => ?a  E  ?b    0,028925214     0,695275591     0,724958949     883     1270    1218    -1
?b  E  ?a  ?a  Rg  ?b   => ?a  E  ?b    0,059914174     0,663883848     0,701572689     1829    2755    2607    -1
?b  E  ?a  ?a  Q  ?b   => ?a  E  ?b     0,042355947     0,681243414     0,717536071     1293    1898    1802    -1
?b  E  ?a  ?a  GG  ?b   => ?a  E  ?b    0,023782226     0,685552408     0,726726727     726     1059    999     -1
?b  E  ?a  ?a  Ra  ?b   => ?a  E  ?b    0,028925214     0,506888634     0,536452005     883     1742    1646    -1
?b  B  ?a  ?b  E  ?a   => ?a  E  ?b     0,022275363     0,659553831     0,69035533      680     1031    985     -1
?b  E  ?a  ?b  GG  ?a   => ?a  E  ?b    0,023782226     0,72238806      0,748453608     726     1005    970     -1
