epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.3251863718032837;1.0;0.7413440346717834;0.6048311591148376;2.941495180130005;0.33545154333114624;1.0;5.141646385192871;0.609760046005249;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.3309299647808075;1.0;0.7348683476448059;0.6100248098373413;2.9382574558258057;0.3262861967086792;1.0;5.141646385192871;0.6115522980690002;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.3216424286365509;1.0;0.7393054366111755;0.604505181312561;2.9404759407043457;0.34046193957328796;1.0;5.141646385192871;0.6139556765556335;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.3268972337245941;1.0;0.7393589615821838;0.6071122288703918;2.940502643585205;0.3180984854698181;1.0;5.141646385192871;0.620534360408783;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.33545154333114624;1.0;0.7368860840797424;0.6132020950317383;2.9392662048339844;0.33765122294425964;1.0;5.141646385192871;0.6062772274017334;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.33606258034706116;1.0;0.7309026718139648;0.6136705875396729;2.936274528503418;0.3377734422683716;1.0;5.141646385192871;0.6186401844024658;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.33166319131851196;1.0;0.7363069653511047;0.6122651100158691;2.938976764678955;0.33655139803886414;1.0;5.141646385192871;0.6127948760986328;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.32995232939720154;1.0;0.7376646399497986;0.6095563769340515;2.9396555423736572;0.3284858763217926;1.0;5.141646385192871;0.6130595803260803;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.3326408267021179;1.0;0.7348610162734985;0.6109006404876709;2.93825364112854;0.3326408267021179;1.0;5.141646385192871;0.6143631339073181;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.3271416425704956;1.0;0.7373228073120117;0.6079065799713135;2.9394845962524414;0.3251863718032837;1.0;5.141646385192871;0.6059920787811279;NA;NA;NA;NA;NA;NA;NA;NA;NA
