epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.3190183937549591;1.0;0.7382398843765259;0.6044648885726929;2.9399454593658447;0.3271983563899994;1.0;5.141651153564453;0.6061691045761108;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.3364008069038391;1.0;0.728508472442627;0.6184389591217041;2.93507981300354;0.3527607321739197;1.0;5.141651153564453;0.6141785383224487;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.3599182069301605;1.0;0.7279386520385742;0.6266189217567444;2.9347949028015137;0.3333333432674408;1.0;5.141651153564453;0.590149998664856;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.31799590587615967;1.0;0.7428866028785706;0.6019086837768555;2.9422688484191895;0.30368098616600037;1.0;5.141651153564453;0.6027607917785645;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.32106339931488037;1.0;0.7483353018760681;0.6019086241722107;2.944993257522583;0.32310837507247925;1.0;5.141651153564453;0.6209952235221863;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.3251533806324005;1.0;0.7388231754302979;0.6039536595344543;2.940237045288086;0.3333333432674408;1.0;5.141651153564453;0.6228698492050171;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.32617586851119995;1.0;0.7355362176895142;0.6065099239349365;2.938593626022339;0.35173824429512024;1.0;5.141651153564453;0.6186094284057617;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.32106339931488037;1.0;0.7424121499061584;0.5998637676239014;2.9420316219329834;0.3384458124637604;1.0;5.141651153564453;0.5986708402633667;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.35480573773384094;1.0;0.7348506450653076;0.6206544041633606;2.938250780105591;0.32106339931488037;1.0;5.141651153564453;0.600715696811676;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.3384458124637604;1.0;0.7271063923835754;0.6157122850418091;2.9343788623809814;0.36605316400527954;1.0;5.141651153564453;0.613667368888855;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;0.30879345536231995;1.0;0.7445114254951477;0.5973073840141296;2.9430813789367676;0.3507157564163208;1.0;5.141651153564453;0.6169052124023438;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;0.3507157564163208;1.0;0.7331845164299011;0.6235514283180237;2.937417507171631;0.3271983563899994;1.0;5.141651153564453;0.6049761772155762;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;0.3680981695652008;1.0;0.7189976572990417;0.6330947279930115;2.9303243160247803;0.32106339931488037;1.0;5.141651153564453;0.6037832498550415;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;0.3507157564163208;1.0;0.7318632006645203;0.6213361024856567;2.9367570877075195;0.32617586851119995;1.0;5.141651153564453;0.6065099239349365;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;0.3619631826877594;1.0;0.7327349185943604;0.6283231973648071;2.937192916870117;0.3507157564163208;1.0;5.141651153564453;0.5945807695388794;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;0.3394683003425598;1.0;0.7303926944732666;0.6143490672111511;2.9360220432281494;0.3425357937812805;1.0;5.141651153564453;0.6133264899253845;NA;NA;NA;NA;NA;NA;NA;NA;NA
