dataset_name;grounder;kge;model_name;rule_miner;seed;kge_atom_embedding_size;batch_size;val_batch_size;test_batch_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;corrupt_mode;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;predicate_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;lr_sched;optimizer;early_stopping;epochs;num_rules;loss;weight_loss;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;r2n_prediction_type;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;kge_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;keys_signature;run_signature;ckpt_folder;load_model_ckpt;save_model_ckpt;load_kge_ckpt;save_kge_ckpt;seed_run_i;time_ground_train;time_ground_valid;time_ground_test;time_train;time_inference;time_ground_train;time_ground_valid;time_ground_test;time_train;time_inference;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1;train_concept_hits@3;train_concept_hits@10;train_task_mrr;train_task_hits@1;train_task_hits@3;train_task_hits@10;valid_loss;valid_concept_loss;valid_task_loss;valid_concept_mrr;valid_concept_hits@1;valid_concept_hits@3;valid_concept_hits@10;valid_task_mrr;valid_task_hits@1;valid_task_hits@3;valid_task_hits@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1;test_concept_hits@3;test_concept_hits@10;test_task_mrr;test_task_hits@1;test_task_hits@3;test_task_hits@10
ablation_d1;backward_0_1;complex;dcr;None;[0, 1, 2, 3, 4];100;256;256;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;TRUE;functional;0;0;200;200;0.0;0.0;0.01;plateau;adam;TRUE;100;1;binary_crossentropy;0.5;FALSE;3;1;FALSE;nofull;1;0.0;100;0.0;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e', 'train_batch_size', 'val_batch_size', 'test_batch_size'];ablation_d1-backward_0_1-complex-dcr-None-1-100-256-256-256;./../checkpoints/;FALSE;TRUE;FALSE;TRUE;4;0.0;0.21;0.04;42.96;0.11;[0.0, 0.0];[0.204, 0.012];[0.038, 0.004];[42.738, 1.767];[0.106, 0.005];[2.379, 0.14];[0.128, 0.248];[4.616, 0.006];[0.999, 0.001];[0.999, 0.002];[1.0, 0.0];[1.0, 0.0];[0.658, 0.008];[0.418, 0.008];[1.0, 0.0];[1.0, 0.0];[0.053, 0.072];[0.064, 0.125];[0.02, 0.007];[0.985, 0.03];[0.978, 0.043];[0.987, 0.026];[0.996, 0.009];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.142, 0.099];[0.099, 0.141];[0.168, 0.033];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.971, 0.002];[0.96, 0.0];[0.972, 0.01];[1.0, 0.0]
ablation_d1;backward_0_1;complex;sbr;None;[0, 1, 2, 3, 4];100;256;256;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;TRUE;functional;0;0;200;200;0.0;0.0;0.01;plateau;adam;TRUE;100;1;binary_crossentropy;0.5;FALSE;3;1;FALSE;nofull;1;0.0;100;0.0;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e', 'train_batch_size', 'val_batch_size', 'test_batch_size'];ablation_d1-backward_0_1-complex-sbr-None-1-100-256-256-256;./../checkpoints/;FALSE;TRUE;FALSE;TRUE;4;0.0;0.21;0.04;40.27;0.1;[0.0, 0.0];[0.212, 0.007];[0.038, 0.004];[32.446, 5.754];[0.102, 0.01];[2.407, 0.127];[0.197, 0.25];[4.616, 0.006];[0.999, 0.001];[0.998, 0.002];[1.0, 0.0];[1.0, 0.0];[0.656, 0.007];[0.413, 0.015];[1.0, 0.0];[1.0, 0.0];[0.048, 0.059];[0.08, 0.12];[0.016, 0.005];[0.989, 0.022];[0.987, 0.026];[0.987, 0.026];[0.996, 0.009];[0.998, 0.004];[0.996, 0.009];[1.0, 0.0];[1.0, 0.0];[0.148, 0.081];[0.124, 0.133];[0.172, 0.031];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.971, 0.002];[0.96, 0.0];[0.976, 0.008];[1.0, 0.0]
ablation_d1;backward_1_1;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;256;256;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;TRUE;functional;0;0;200;200;0.0;0.0;0.01;plateau;adam;TRUE;100;0;binary_crossentropy;0.5;FALSE;3;1;FALSE;nofull;1;0.0;100;0.0;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e', 'train_batch_size', 'val_batch_size', 'test_batch_size'];ablation_d1-backward_1_1-complex-no_reasoner-None-1-100-256-256-256;./../checkpoints/;FALSE;TRUE;FALSE;TRUE;4;0.0;0.02;0.0;17.38;0.11;[0.0, 0.0];[0.02, 0.0];[0.0, 0.0];[17.762, 0.345];[0.098, 0.007];[0.325, 0.149];[0.325, 0.149];[0.325, 0.149];[0.999, 0.001];[0.998, 0.001];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[0.998, 0.001];[1.0, 0.0];[1.0, 0.0];[0.109, 0.082];[0.109, 0.082];[0.109, 0.082];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.167, 0.086];[0.167, 0.086];[0.167, 0.086];[0.997, 0.005];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0];[0.997, 0.005];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0]
ablation_d1;backward_1_1;complex;dcr;None;[0, 1, 2, 3, 4];100;256;256;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;TRUE;functional;0;0;200;200;0.0;0.0;0.01;plateau;adam;TRUE;100;1;binary_crossentropy;0.5;FALSE;3;1;FALSE;nofull;1;0.0;100;0.0;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e', 'train_batch_size', 'val_batch_size', 'test_batch_size'];ablation_d1-backward_1_1-complex-dcr-None-1-100-256-256-256;./../checkpoints/;FALSE;TRUE;FALSE;TRUE;4;0.0;0.22;0.04;44.08;0.1;[0.0, 0.0];[0.218, 0.004];[0.038, 0.004];[43.35, 1.65];[0.104, 0.005];[2.379, 0.14];[0.128, 0.248];[4.616, 0.006];[0.999, 0.001];[0.999, 0.002];[1.0, 0.0];[1.0, 0.0];[0.658, 0.008];[0.418, 0.008];[1.0, 0.0];[1.0, 0.0];[0.053, 0.072];[0.064, 0.125];[0.02, 0.007];[0.985, 0.03];[0.978, 0.043];[0.987, 0.026];[0.996, 0.009];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.142, 0.099];[0.099, 0.141];[0.168, 0.033];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.971, 0.002];[0.96, 0.0];[0.972, 0.01];[1.0, 0.0]
ablation_d1;backward_1_1;complex;sbr;None;[0, 1, 2, 3, 4];100;256;256;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;TRUE;functional;0;0;200;200;0.0;0.0;0.01;plateau;adam;TRUE;100;1;binary_crossentropy;0.5;FALSE;3;1;FALSE;nofull;1;0.0;100;0.0;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e', 'train_batch_size', 'val_batch_size', 'test_batch_size'];ablation_d1-backward_1_1-complex-sbr-None-1-100-256-256-256;./../checkpoints/;FALSE;TRUE;FALSE;TRUE;4;0.0;0.22;0.04;40.77;0.1;[0.0, 0.0];[0.214, 0.012];[0.038, 0.004];[32.626, 5.711];[0.104, 0.005];[2.407, 0.127];[0.197, 0.25];[4.616, 0.006];[0.999, 0.001];[0.998, 0.002];[1.0, 0.0];[1.0, 0.0];[0.656, 0.007];[0.413, 0.015];[1.0, 0.0];[1.0, 0.0];[0.048, 0.059];[0.08, 0.12];[0.016, 0.005];[0.989, 0.022];[0.987, 0.026];[0.987, 0.026];[0.996, 0.009];[0.998, 0.004];[0.996, 0.009];[1.0, 0.0];[1.0, 0.0];[0.148, 0.081];[0.124, 0.133];[0.172, 0.031];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.971, 0.002];[0.96, 0.0];[0.976, 0.008];[1.0, 0.0]
ablation_d1;backward_1_2;complex;dcr;None;[0, 1, 2, 3, 4];100;256;256;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;TRUE;functional;0;0;200;200;0.0;0.0;0.01;plateau;adam;TRUE;100;1;binary_crossentropy;0.5;FALSE;3;1;FALSE;nofull;1;0.0;100;0.0;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e', 'train_batch_size', 'val_batch_size', 'test_batch_size'];ablation_d1-backward_1_2-complex-dcr-None-1-100-256-256-256;./../checkpoints/;FALSE;TRUE;FALSE;TRUE;4;0.0;0.24;0.1;48.19;0.12;[0.0, 0.0];[0.232, 0.012];[0.098, 0.004];[54.588, 8.351];[0.112, 0.007];[2.395, 0.142];[0.146, 0.258];[4.617, 0.005];[1.0, 0.001];[0.999, 0.001];[1.0, 0.0];[1.0, 0.0];[0.654, 0.005];[0.403, 0.007];[1.0, 0.0];[1.0, 0.0];[0.118, 0.061];[0.069, 0.132];[0.122, 0.029];[0.971, 0.057];[0.961, 0.078];[0.978, 0.043];[0.991, 0.017];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.138, 0.093];[0.101, 0.151];[0.135, 0.022];[0.992, 0.006];[0.988, 0.01];[0.996, 0.008];[1.0, 0.0];[0.998, 0.004];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0]
ablation_d1;backward_1_2;complex;sbr;None;[0, 1, 2, 3, 4];100;256;256;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;TRUE;functional;0;0;200;200;0.0;0.0;0.01;plateau;adam;TRUE;100;1;binary_crossentropy;0.5;FALSE;3;1;FALSE;nofull;1;0.0;100;0.0;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e', 'train_batch_size', 'val_batch_size', 'test_batch_size'];ablation_d1-backward_1_2-complex-sbr-None-1-100-256-256-256;./../checkpoints/;FALSE;TRUE;FALSE;TRUE;4;0.0;0.24;0.1;68.31;0.1;[0.0, 0.0];[0.238, 0.01];[0.098, 0.004];[60.976, 7.796];[0.11, 0.009];[2.43, 0.131];[0.25, 0.255];[4.61, 0.009];[0.998, 0.002];[0.997, 0.003];[1.0, 0.0];[1.0, 0.0];[0.654, 0.01];[0.418, 0.008];[1.0, 0.0];[1.0, 0.0];[0.061, 0.072];[0.098, 0.128];[0.025, 0.016];[0.975, 0.051];[0.965, 0.07];[0.978, 0.043];[1.0, 0.0];[0.998, 0.004];[0.996, 0.009];[1.0, 0.0];[1.0, 0.0];[0.115, 0.091];[0.168, 0.127];[0.061, 0.058];[0.991, 0.007];[0.988, 0.01];[0.996, 0.008];[1.0, 0.0];[0.996, 0.005];[0.992, 0.01];[1.0, 0.0];[1.0, 0.0]
ablation_d1;backward_1_3;complex;dcr;None;[0, 1, 2, 3, 4];100;256;256;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;TRUE;functional;0;0;200;200;0.0;0.0;0.01;plateau;adam;TRUE;100;1;binary_crossentropy;0.5;FALSE;3;1;FALSE;nofull;1;0.0;100;0.0;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e', 'train_batch_size', 'val_batch_size', 'test_batch_size'];ablation_d1-backward_1_3-complex-dcr-None-1-100-256-256-256;./../checkpoints/;FALSE;TRUE;FALSE;TRUE;4;0.0;0.25;0.16;70.15;0.1;[0.0, 0.0];[0.294, 0.098];[0.198, 0.086];[72.724, 3.85];[0.104, 0.01];[2.405, 0.139];[0.14, 0.261];[4.63, 0.004];[1.0, 0.001];[0.999, 0.001];[1.0, 0.0];[1.0, 0.0];[0.649, 0.009];[0.415, 0.013];[1.0, 0.0];[1.0, 0.0];[0.146, 0.057];[0.068, 0.132];[0.179, 0.042];[0.968, 0.064];[0.952, 0.096];[0.978, 0.043];[0.996, 0.009];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.152, 0.087];[0.1, 0.15];[0.161, 0.014];[0.995, 0.006];[0.992, 0.01];[1.0, 0.0];[1.0, 0.0];[0.998, 0.004];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0]
ablation_d1;backward_1_3;complex;sbr;None;[0, 1, 2, 3, 4];100;256;256;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;TRUE;functional;0;0;200;200;0.0;0.0;0.01;plateau;adam;TRUE;100;1;binary_crossentropy;0.5;FALSE;3;1;FALSE;nofull;1;0.0;100;0.0;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e', 'train_batch_size', 'val_batch_size', 'test_batch_size'];ablation_d1-backward_1_3-complex-sbr-None-1-100-256-256-256;./../checkpoints/;FALSE;TRUE;FALSE;TRUE;4;0.0;0.25;0.16;101.3;0.11;[0.0, 0.0];[0.24, 0.015];[0.156, 0.008];[76.808, 12.826];[0.108, 0.007];[2.502, 0.136];[0.387, 0.26];[4.618, 0.013];[0.998, 0.002];[0.995, 0.003];[1.0, 0.0];[1.0, 0.0];[0.649, 0.005];[0.403, 0.012];[1.0, 0.0];[1.0, 0.0];[0.117, 0.09];[0.171, 0.141];[0.063, 0.04];[0.968, 0.058];[0.957, 0.077];[0.97, 0.061];[0.996, 0.009];[0.995, 0.006];[0.991, 0.011];[0.996, 0.009];[1.0, 0.0];[0.174, 0.097];[0.249, 0.13];[0.099, 0.065];[0.982, 0.012];[0.972, 0.02];[0.984, 0.008];[1.0, 0.0];[0.996, 0.005];[0.992, 0.01];[1.0, 0.0];[1.0, 0.0]
ablation_d1;backward_2_1;complex;dcr;None;[0, 1, 2, 3, 4];100;256;256;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;TRUE;functional;0;0;200;200;0.0;0.0;0.01;plateau;adam;TRUE;100;1;binary_crossentropy;0.5;FALSE;3;1;FALSE;nofull;1;0.0;100;0.0;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e', 'train_batch_size', 'val_batch_size', 'test_batch_size'];ablation_d1-backward_2_1-complex-dcr-None-1-100-256-256-256;./../checkpoints/;FALSE;TRUE;FALSE;TRUE;4;0.0;0.22;0.04;43.77;0.11;[0.0, 0.0];[0.218, 0.004];[0.038, 0.004];[43.596, 1.628];[0.1, 0.009];[2.379, 0.14];[0.128, 0.248];[4.616, 0.006];[0.999, 0.001];[0.999, 0.002];[1.0, 0.0];[1.0, 0.0];[0.658, 0.008];[0.418, 0.008];[1.0, 0.0];[1.0, 0.0];[0.053, 0.072];[0.064, 0.125];[0.02, 0.007];[0.985, 0.03];[0.978, 0.043];[0.987, 0.026];[0.996, 0.009];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.142, 0.099];[0.099, 0.141];[0.168, 0.033];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.971, 0.002];[0.96, 0.0];[0.972, 0.01];[1.0, 0.0]
