epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.33693695068359375;1.0;1.0;1.5504859685897827;0.6130630373954773;1.5054364204406738;1.0;0.3216216266155243;1.0;1.0;1.4063869714736938;0.6043543815612793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3009009063243866;1.0;1.0;1.5594943761825562;0.5917417407035828;1.506042718887329;1.0;0.27207207679748535;1.0;1.0;1.398950219154358;0.5759759545326233;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3333333432674408;1.0;1.0;1.5453852415084839;0.6100600957870483;1.4911435842514038;1.0;0.32792791724205017;1.0;1.0;1.3836191892623901;0.6106606721878052;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.33423423767089844;1.0;1.0;1.5409295558929443;0.6130630373954773;1.4893826246261597;1.0;0.33243241906166077;1.0;1.0;1.384909749031067;0.6166666746139526;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.31621623039245605;1.0;1.0;1.5509064197540283;0.6028528809547424;1.4962794780731201;1.0;0.30900901556015015;1.0;1.0;1.3890820741653442;0.6039038896560669;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3261261284351349;1.0;1.0;1.5479894876480103;0.6085585355758667;1.4946730136871338;1.0;0.3171171247959137;1.0;1.0;1.389140248298645;0.6070570945739746;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3468468487262726;1.0;1.0;1.5453695058822632;0.6148648858070374;1.4892042875289917;1.0;0.3585585653781891;1.0;1.0;1.3811758756637573;0.6261261105537415;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.34324324131011963;1.0;1.0;1.544532299041748;0.6157658100128174;1.488929271697998;1.0;0.3792792856693268;1.0;1.0;1.3818144798278809;0.6393393874168396;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.36036035418510437;1.0;1.0;1.5369153022766113;0.6264265179634094;1.4828429222106934;1.0;0.3954955041408539;1.0;1.0;1.377609133720398;0.6480481624603271;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.32972973585128784;1.0;1.0;1.5470434427261353;0.6090090274810791;1.490788221359253;1.0;0.3585585653781891;1.0;1.0;1.3837206363677979;0.6310811042785645;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.3333333432674408;1.0;1.0;1.5457210540771484;0.6142643094062805;1.4871211051940918;1.0;0.37657657265663147;1.0;1.0;1.378056287765503;0.6424925327301025;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.35945945978164673;1.0;1.0;1.5414031744003296;0.6235736012458801;1.484041452407837;1.0;0.39009007811546326;1.0;1.0;1.376561164855957;0.6451952457427979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1.0;0.34594595432281494;1.0;1.0;1.5447683334350586;0.6181681752204895;1.485475778579712;1.0;0.39279279112815857;1.0;1.0;1.3764091730117798;0.6481981873512268;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;0.33873873949050903;1.0;1.0;1.5439362525939941;0.6169670224189758;1.4821710586547852;1.0;0.38738739490509033;1.0;1.0;1.3709748983383179;0.6483484506607056;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1.0;0.3315315246582031;1.0;1.0;1.5508828163146973;0.6067567467689514;1.4882702827453613;1.0;0.3702702820301056;1.0;1.0;1.3765686750411987;0.6339340209960938;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;1.0;0.3288288414478302;1.0;1.0;1.5504677295684814;0.6088588833808899;1.4873442649841309;1.0;0.3720720708370209;1.0;1.0;1.375471830368042;0.6361862421035767;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;1.0;0.3126126229763031;1.0;1.0;1.5373361110687256;0.6021021604537964;1.4730370044708252;1.0;0.3729729652404785;1.0;1.0;1.3603266477584839;0.6405405402183533;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;1.0;0.3639639616012573;1.0;1.0;1.545265793800354;0.6303303837776184;1.4816315174102783;1.0;0.4162162244319916;1.0;1.0;1.3699220418930054;0.6626126766204834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;1.0;0.3234234154224396;1.0;1.0;1.5449504852294922;0.6081081628799438;1.4790050983428955;1.0;0.39009007811546326;1.0;1.0;1.3653202056884766;0.6498499512672424;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;1.0;0.3306306302547455;1.0;1.0;1.5541359186172485;0.6079579591751099;1.4863243103027344;1.0;0.3963963985443115;1.0;1.0;1.3711086511611938;0.6513513922691345;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;1.0;0.35765767097473145;1.0;1.0;1.5359874963760376;0.6268768310546875;1.471412181854248;1.0;0.4216216206550598;1.0;1.0;1.359767198562622;0.6672672629356384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;1.0;0.3468468487262726;1.0;1.0;1.5369784832000732;0.621171236038208;1.4708611965179443;1.0;0.4126126170158386;1.0;1.0;1.3580063581466675;0.6609610319137573;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;1.0;0.3396396338939667;1.0;1.0;1.5406160354614258;0.6145645976066589;1.4732601642608643;1.0;0.4000000059604645;1.0;1.0;1.3594964742660522;0.6524024605751038;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;1.0;0.3144144117832184;1.0;1.0;1.5507795810699463;0.5981981754302979;1.4807446002960205;1.0;0.39729729294776917;1.0;1.0;1.3646327257156372;0.6478978991508484;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;1.0;0.34594595432281494;1.0;1.0;1.5326722860336304;0.6192192435264587;1.4620814323425293;1.0;0.4288288354873657;1.0;1.0;1.3457436561584473;0.6714715361595154;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;1.0;0.32972973585128784;1.0;1.0;1.5506054162979126;0.6100600957870483;1.4784297943115234;1.0;0.4171171188354492;1.0;1.0;1.3608372211456299;0.6626126766204834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;1.0;0.3450450599193573;1.0;1.0;1.5435515642166138;0.6184685230255127;1.4695420265197754;1.0;0.4468468427658081;1.0;1.0;1.3504444360733032;0.6788288950920105;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;1.0;0.32972973585128784;1.0;1.0;1.5490543842315674;0.6091591715812683;1.4743752479553223;1.0;0.4126126170158386;1.0;1.0;1.3549367189407349;0.6590089797973633;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;1.0;0.33243241906166077;1.0;1.0;1.5439629554748535;0.6133633852005005;1.4665018320083618;1.0;0.4216216206550598;1.0;1.0;1.3446111679077148;0.66696697473526;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;1.0;0.31621623039245605;1.0;1.0;1.5528805255889893;0.6006006002426147;1.4745151996612549;1.0;0.41351351141929626;1.0;1.0;1.3520514965057373;0.6611111760139465;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
