Number of atoms removed: 727
Problematic atoms:
{('son', '432', '27')}
Number of times a predicate appears in the head of rules (in train facts): {'son': 8, 'niece': 12, 'daughter': 8, 'nephew': 12, 'mother': 10, 'aunt': 12, 'father': 10, 'uncle': 12, 'husband': 2, 'sister': 7, 'wife': 2, 'brother': 5}
nephew, (Fraction of) Atoms from facts to be deleted with this predicate: 0.107. 154/1437
daughter, (Fraction of) Atoms from facts to be deleted with this predicate: 0.066. 46/701
niece, (Fraction of) Atoms from facts to be deleted with this predicate: 0.15. 89/592
father, (Fraction of) Atoms from facts to be deleted with this predicate: 0.083. 67/812
aunt, (Fraction of) Atoms from facts to be deleted with this predicate: 0.124. 46/370
son, (Fraction of) Atoms from facts to be deleted with this predicate: 0.101. 78/773
uncle, (Fraction of) Atoms from facts to be deleted with this predicate: 0.138. 145/1048
sister, (Fraction of) Atoms from facts to be deleted with this predicate: 0.072. 44/614
mother, (Fraction of) Atoms from facts to be deleted with this predicate: 0.122. 57/467
brother, (Fraction of) Atoms from facts to be deleted with this predicate: 0.004. 2/465
Atoms removed:
('nephew', '698', '1625')
('daughter', '1198', '1193')
('daughter', '1428', '839')
('niece', '749', '590')
('father', '1193', '1196')
('aunt', '776', '843')
('son', '2084', '1335')
('daughter', '317', '89')
('niece', '257', '252')
('uncle', '334', '204')
('nephew', '757', '745')
('uncle', '334', '2146')
('nephew', '50', '155')
('niece', '2763', '2746')
('nephew', '698', '2858')
('father', '4', '18')
('uncle', '9', '86')
('aunt', '713', '698')
('daughter', '544', '540')
('nephew', '164', '94')
('sister', '218', '209')
('nephew', '72', '4')
('mother', '157', '1362')
('uncle', '1285', '1267')
('mother', '1420', '2423')
('nephew', '1281', '1373')
('nephew', '222', '209')
('nephew', '1234', '1256')
('mother', '556', '562')
('father', '2', '4')
('nephew', '95', '151')
('aunt', '728', '743')
('mother', '3', '73')
('niece', '118', '3')
('uncle', '75', '80')
('nephew', '234', '75')
('uncle', '727', '2119')
('uncle', '492', '164')
('mother', '1707', '2153')
('niece', '716', '748')
('sister', '1121', '1120')
('nephew', '708', '748')
('son', '1034', '552')
('niece', '951', '748')
('uncle', '21', '230')
('nephew', '572', '1164')
('mother', '739', '706')
('aunt', '2857', '696')
('niece', '1963', '177')
('nephew', '1281', '1375')
('uncle', '337', '217')
('mother', '1372', '1510')
('aunt', '218', '222')
('niece', '156', '151')
('son', '767', '728')
('father', '1792', '1804')
('son', '405', '227')
('uncle', '412', '1683')
('father', '637', '1074')
('uncle', '1256', '1237')
('mother', '605', '71')
('uncle', '150', '160')
('sister', '557', '563')
('daughter', '1159', '637')
('niece', '15', '3')
('son', '903', '895')
('nephew', '1394', '1389')
('sister', '2474', '2470')
('mother', '1105', '1109')
('daughter', '1196', '1158')
('niece', '1653', '336')
('son', '743', '739')
('daughter', '1665', '604')
('uncle', '588', '903')
('nephew', '50', '85')
('uncle', '748', '713')
('mother', '2832', '2836')
('father', '244', '293')
('uncle', '337', '133')
('uncle', '727', '768')
('aunt', '5', '97')
('aunt', '829', '835')
('uncle', '83', '49')
('uncle', '75', '230')
('niece', '2654', '559')
('uncle', '1073', '1076')
('mother', '94', '97')
('uncle', '40', '159')
('father', '604', '606')
('nephew', '1143', '1140')
('uncle', '4', '86')
('uncle', '150', '1355')
('nephew', '122', '5')
('aunt', '8', '13')
('aunt', '78', '232')
('nephew', '703', '2857')
('daughter', '17', '4')
('father', '1261', '1266')
('daughter', '1911', '1956')
('uncle', '336', '214')
('nephew', '1241', '1256')
('uncle', '4', '310')
('mother', '1372', '1374')
('son', '1364', '1372')
('nephew', '1853', '1387')
('father', '552', '1034')
('uncle', '336', '143')
('niece', '2146', '334')
('father', '1371', '1376')
('daughter', '2090', '2081')
('father', '637', '1141')
('father', '1261', '1273')
('niece', '77', '8')
('nephew', '155', '94')
('daughter', '1163', '761')
('son', '1799', '1792')
('aunt', '559', '2654')
('aunt', '5', '24')
('aunt', '559', '418')
('uncle', '227', '1664')
('nephew', '712', '745')
('nephew', '438', '1101')
('mother', '998', '1014')
('uncle', '492', '99')
('nephew', '310', '8')
('nephew', '412', '557')
('niece', '98', '150')
('son', '2672', '2666')
('uncle', '9', '76')
('uncle', '86', '238')
('nephew', '80', '21')
('son', '1154', '637')
('uncle', '1109', '1117')
('son', '1265', '1262')
('nephew', '164', '492')
('nephew', '222', '215')
('niece', '121', '8')
('father', '902', '907')
